korpus.id,hit,task,ad.mace,ad.annotation,cutoff.mace,cutoff.annotation,loading.mace,loading.annotation,pornographic.mace,pornographic.annotation,popup.mace,popup.annotation,captcha.mace,captcha.annotation,error.mace,error.annotation
3346,9,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
573,10,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7831,10,2,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
1846,10,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8005,10,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
2024,10,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8346,11,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
224,11,2,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
5262,11,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3341,11,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4931,11,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6359,12,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4406,12,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1494,12,3,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
1325,12,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3192,12,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
975,13,1,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
8602,13,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1189,13,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8761,13,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3332,13,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8343,14,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
634,14,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8124,14,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3834,14,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
2179,14,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2900,15,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2790,15,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9136,15,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8049,15,4,no,-,yes,-,yes,-,no,-,not,very,not,-,not,-
5185,15,5,no,-,no,-,no,-,no,-,abit,very,not,-,not,-
497,16,1,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
823,16,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3734,16,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1509,16,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6392,16,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2918,17,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8379,17,2,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
3275,17,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4310,17,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1319,17,5,no,-,no,-,no,-,no,-,not,abit,not,-,not,-
4914,18,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5494,18,2,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
6163,18,3,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
7221,18,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6838,18,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1388,19,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2087,19,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2993,19,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4459,19,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6222,19,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7166,20,1,no,-,no,-,no,-,no,-,not,-,not,-,very,-
56,20,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9783,20,3,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
8201,20,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3208,20,5,no,-,no,-,no,-,no,-,very,-,not,-,not,-
9241,21,1,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
1603,21,2,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
7860,21,3,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
3312,21,4,yes,-,no,yes,no,-,no,-,not,-,not,-,not,-
703,21,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
898,22,1,no,-,no,-,no,-,no,-,not,abit,not,-,not,-
8556,22,2,no,-,no,-,no,-,no,-,not,-,not,-,very,-
2353,22,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1626,22,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
3988,22,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
571,23,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9607,23,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4086,23,3,yes,-,no,-,no,-,no,-,very,not,not,-,not,-
3527,23,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7995,23,5,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
20,24,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6724,24,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2113,24,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7188,24,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8008,24,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
698,25,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6331,25,2,no,-,no,-,no,-,no,-,not,-,not,-,very,-
369,25,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
225,25,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
8424,25,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5309,26,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3160,26,2,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
1611,26,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3801,26,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
4463,26,5,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
1224,27,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5914,27,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5354,27,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6100,27,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6789,27,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5192,28,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7916,28,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3773,28,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5093,28,4,no,-,no,-,no,-,no,-,very,-,not,-,not,-
348,28,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1493,29,1,no,-,no,-,no,-,no,-,very,not,not,-,not,-
6462,29,2,no,-,no,-,no,-,no,-,very,-,abit,-,not,-
4330,29,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6884,29,4,no,-,no,-,no,-,no,-,very,-,not,-,not,-
5782,29,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5048,30,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6664,30,2,yes,-,no,-,no,-,no,-,not,abit,not,-,not,-
8148,30,3,no,-,no,-,no,-,no,-,not,-,not,-,very,-
4309,30,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1936,30,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5915,31,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3285,31,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6673,31,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5813,31,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7170,31,5,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
9118,32,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2152,32,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1630,32,3,no,-,no,-,no,-,no,-,not,-,not,-,very,-
2921,32,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6981,32,5,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
6633,33,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2009,33,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5280,33,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3314,33,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5975,33,5,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
7650,34,1,no,-,no,yes,no,-,yes,-,not,-,not,-,not,-
2201,34,2,no,-,no,-,no,-,no,-,not,-,very,-,not,-
5993,34,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
622,34,4,no,-,no,-,no,-,no,-,not,-,not,-,very,-
3198,34,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6774,35,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
280,35,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5449,35,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8796,35,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6538,35,5,yes,-,no,-,no,-,no,-,very,-,not,-,not,-
3525,36,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4988,36,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3349,36,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
955,36,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1822,36,5,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
3363,37,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2165,37,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2792,37,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6178,37,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2204,37,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1457,38,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9668,38,2,no,-,no,-,no,-,yes,-,not,very,not,-,not,-
4780,38,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3342,38,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7426,38,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
948,39,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2934,39,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8431,39,3,no,-,no,-,no,-,no,-,very,-,not,-,not,-
5086,39,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4860,39,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3104,40,1,no,-,no,-,no,-,no,-,not,-,not,-,very,-
9947,40,2,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
6363,40,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2114,40,4,no,-,yes,no,no,-,no,-,not,-,not,-,not,-
8534,40,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
147,41,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6975,41,2,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
2922,41,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4479,41,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5602,41,5,no,-,yes,-,no,-,no,-,not,-,not,-,not,-
4545,42,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3563,42,2,no,-,no,-,no,-,no,-,not,yery,not,-,not,-
4429,42,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7743,42,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4930,42,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4396,43,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8051,43,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3616,43,3,no,-,no,-,no,-,no,-,not,-,not,-,not,very
5702,43,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9200,43,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4192,44,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3159,44,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2997,44,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2424,44,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6892,44,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6263,45,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9520,45,2,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
5825,45,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7976,45,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
5684,45,5,no,-,no,-,no,-,no,-,not,-,not,abit,not,-
2913,46,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8341,46,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3184,46,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3098,46,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5134,46,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3443,47,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4681,47,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3535,47,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5431,47,4,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
2820,47,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9665,48,1,yes,no,no,-,no,-,yes,-,abit,very,not,-,not,-
5867,48,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3595,48,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6306,48,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2759,48,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8294,49,1,no,-,no,-,no,-,no,-,abit,-,not,-,not,-
8400,49,2,no,-,no,-,no,-,no,-,not,-,not,abit,not,-
5219,49,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4882,49,4,no,-,yes,-,no,-,no,-,not,-,not,-,not,-
7825,49,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7231,50,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3188,50,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7061,50,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4142,50,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2063,50,5,no,-,no,-,no,-,no,-,not,-,not,-,not,very
8671,51,1,no,-,yes,-,no,-,no,-,not,-,not,-,very,not
2838,51,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7197,51,3,no,-,yes,no,no,-,no,-,not,-,not,-,not,-
3422,51,4,no,-,no,-,no,-,no,-,very,-,not,-,not,-
123,51,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9050,52,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2234,52,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6215,52,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2477,52,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3797,52,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
990,53,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1789,53,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8924,53,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5044,53,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
392,53,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5875,54,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2389,54,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5386,54,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5132,54,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2132,54,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8391,55,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2612,55,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8599,55,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3172,55,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8573,55,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9653,56,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8498,56,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
897,56,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1800,56,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3310,56,5,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
9785,57,1,no,-,no,-,no,-,no,-,abit,very,not,-,not,-
3353,57,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
388,57,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6764,57,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9733,57,5,no,-,yes,-,no,-,no,-,very,-,not,-,not,-
3645,58,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9460,58,2,no,-,no,-,no,-,no,-,very,-,not,-,not,-
5257,58,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6952,58,4,no,-,yes,-,no,-,no,-,not,-,not,-,not,-
6269,58,5,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
7710,59,1,no,-,no,-,no,-,no,yes,not,very,not,-,not,-
9798,59,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8920,59,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9370,59,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2273,59,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3111,60,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9301,60,2,no,-,yes,-,no,-,no,-,not,-,not,-,not,-
8889,60,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
749,60,4,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
1423,60,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6898,61,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7204,61,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1441,61,3,no,-,no,-,no,-,no,yes,not,-,not,-,not,-
5686,61,4,no,-,no,-,no,-,no,-,not,-,not,abit,not,-
4812,61,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
732,62,1,no,-,no,-,no,-,no,-,very,-,not,-,not,-
8568,62,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5278,62,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4151,62,4,no,-,no,-,no,-,no,-,not,-,not,-,very,-
3846,62,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6512,63,1,no,-,no,-,no,-,no,-,not,-,not,-,very,-
3037,63,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1790,63,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4825,63,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6798,63,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5204,64,1,no,-,no,-,no,-,no,-,very,-,not,-,not,-
4903,64,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2552,64,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
492,64,4,no,-,no,-,no,-,yes,-,abit,not,not,-,not,-
2305,64,5,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
6670,65,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1497,65,2,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
4598,65,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3571,65,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9095,65,5,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
6134,66,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2575,66,2,no,-,no,-,no,-,no,-,not,-,not,abit,not,-
50,66,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6189,66,4,yes,-,no,-,no,-,yes,-,not,-,not,-,not,very
8554,66,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6038,67,1,no,-,no,-,no,-,no,-,not,abit,not,-,very,-
5599,67,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4404,67,3,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
2512,67,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5131,67,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3758,68,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3517,68,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2791,68,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2743,68,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
355,68,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2030,69,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6297,69,2,no,-,no,-,no,-,no,-,not,very,not,-,not,-
1934,69,3,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
3684,69,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3817,69,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
366,70,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4182,70,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2735,70,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5261,70,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2628,70,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1002,71,1,no,-,no,-,no,-,no,-,not,-,not,-,not,very
8388,71,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2740,71,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
114,71,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2328,71,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5297,72,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8968,72,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9333,72,3,no,-,no,-,no,-,no,-,abit,-,not,-,not,-
2898,72,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5595,72,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5377,73,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5341,73,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6533,73,3,yes,no,no,-,no,-,no,-,very,-,not,-,not,-
6452,73,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3709,73,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4312,74,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7298,74,2,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
610,74,3,no,-,no,-,no,-,no,-,not,-,not,-,not,very
5634,74,4,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
7288,74,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1174,75,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5221,75,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
980,75,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4489,75,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2346,75,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4555,76,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3819,76,2,no,-,no,yes,no,-,no,-,not,-,not,-,not,-
3693,76,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4724,76,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4240,76,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3135,77,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4637,77,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3462,77,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1314,77,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
267,77,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
831,78,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6323,78,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3232,78,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4141,78,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9262,78,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3601,79,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9999,79,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
